"","subjid","elpd","elpd.1"
"elpd",2077,-126069.932656228,600.661778076229
"elpd1",2078,-25369.5080395759,136.447351445022
"elpd2",2083,-37549.4748650948,179.114268331521
"elpd3",2085,-15169.0226021342,115.357607248423
"elpd4",2109,-34582.089066043,194.04347285476
"elpd5",2123,-13375.6141830571,120.706469252435
"elpd6",2124,NA,NA
"elpd7",2143,-21668.717919581,205.64707903102
