"","sigma_s","rew_multi","sigma","rho","reward"
"113",0.3,5,1.3,0.6,14760.3319638793
"114",0.3,5,1.4,0.6,14683.0311707007
"115",0.3,5,1.5,0.6,14619.9344591597
"116",0.3,5,1.6,0.6,14567.8017029075
"117",0.3,5,1.7,0.6,14524.2566414887
"118",0.3,5,1.8,0.6,14487.5275410048
"119",0.3,5,1.9,0.6,14456.2733330054
"120",0.3,5,2,0.6,14429.4648597344
"121",0.3,5,0.1,0.7,22017.2456377774
"122",0.3,5,0.2,0.7,20978.5679489378
"123",0.3,5,0.3,0.7,19681.4208719198
"124",0.3,5,0.4,0.7,18402.9237136179
"125",0.3,5,0.5,0.7,17418.4097649483
"126",0.3,5,0.6,0.7,16725.2938934229
"127",0.3,5,0.7,0.7,16239.871823941
"128",0.3,5,0.8,0.7,15893.4520220975
"129",0.3,5,0.9,0.7,15640.2463052367
"130",0.3,5,1,0.7,15450.7570151195
"131",0.3,5,1.1,0.7,15305.8445156188
"132",0.3,5,1.2,0.7,15192.8492563192
"133",0.3,5,1.3,0.7,15103.2082566708
"134",0.3,5,1.4,0.7,15030.9981791699
"135",0.3,5,1.5,0.7,14972.0335832086
"136",0.3,5,1.6,0.7,14923.2981900101
"137",0.3,5,1.7,0.7,14882.5786663769
"138",0.3,5,1.8,0.7,14848.2238702309
"139",0.3,5,1.9,0.7,14818.983387952
"140",0.3,5,2,0.7,14793.8971935731
"141",0.3,5,0.1,0.8,22021.1041497628
"142",0.3,5,0.2,0.8,21002.8491805049
"143",0.3,5,0.3,0.8,19733.1527310837
"144",0.3,5,0.4,0.8,18499.098780998
"145",0.3,5,0.5,0.8,17567.8206611423
"146",0.3,5,0.6,0.8,16920.2655081609
"147",0.3,5,0.7,0.8,16469.1810673607
"148",0.3,5,0.8,0.8,16147.9010563997
"149",0.3,5,0.9,0.8,15913.1946293837
"150",0.3,5,1,0.8,15737.5382564223
"151",0.3,5,1.1,0.8,15603.1653606151
"152",0.3,5,1.2,0.8,15498.3503976109
"153",0.3,5,1.3,0.8,15415.1685549748
"154",0.3,5,1.4,0.8,15348.1387139479
"155",0.3,5,1.5,0.8,15293.3872247576
"156",0.3,5,1.6,0.8,15248.1216118586
"157",0.3,5,1.7,0.8,15210.2919999041
"158",0.3,5,1.8,0.8,15178.3685968539
"159",0.3,5,1.9,0.8,15151.1924551878
"160",0.3,5,2,0.8,15127.8734612816
"161",0.3,5,0.1,0.9,22020.1569947532
"162",0.3,5,0.2,0.9,21015.1499733279
"163",0.3,5,0.3,0.9,19764.846159201
"164",0.3,5,0.4,0.9,18570.4732776704
"165",0.3,5,0.5,0.9,17690.4848721165
"166",0.3,5,0.6,0.9,17087.2339244518
"167",0.3,5,0.7,0.9,16669.5962150295
"168",0.3,5,0.8,0.9,16372.8618584205
"169",0.3,5,0.9,0.9,16156.2712208699
"170",0.3,5,1,0.9,15994.2018364991
"171",0.3,5,1.1,0.9,15870.2099052851
"172",0.3,5,1.2,0.9,15773.4718232502
"173",0.3,5,1.3,0.9,15696.680959233
"174",0.3,5,1.4,0.9,15634.7859575436
"175",0.3,5,1.5,0.9,15584.2171210531
"176",0.3,5,1.6,0.9,15542.4007760476
"177",0.3,5,1.7,0.9,15507.4472646644
"178",0.3,5,1.8,0.9,15477.9460131989
"179",0.3,5,1.9,0.9,15452.8281172752
