"","sigma_s","rew_multi","sigma","rho","reward"
"1368",0.3,20,0.8,0.9,16372.8618584205
"1369",0.3,20,0.9,0.9,16156.2712208699
"1370",0.3,20,1,0.9,15994.2018364991
"1371",0.3,20,1.1,0.9,15870.2099052851
"1372",0.3,20,1.2,0.9,15773.4718232502
"1373",0.3,20,1.3,0.9,15696.680959233
"1374",0.3,20,1.4,0.9,15634.7859575436
"1375",0.3,20,1.5,0.9,15584.2171210531
"1376",0.3,20,1.6,0.9,15542.4007760476
"1377",0.3,20,1.7,0.9,15507.4472646644
"1378",0.3,20,1.8,0.9,15477.9460131989
"1379",0.3,20,1.9,0.9,15452.8281172752
"1380",0.3,20,2,0.9,15431.2724127995
"1381",0.3,20,0.1,1,22014.9359529524
"1382",0.3,20,0.2,1,21016.764321269
"1383",0.3,20,0.3,1,19778.741589233
"1384",0.3,20,0.4,1,18620.2449938612
"1385",0.3,20,0.5,1,17789.7505417158
"1386",0.3,20,0.6,1,17229.1943455001
"1387",0.3,20,0.7,1,16843.679111668
"1388",0.3,20,0.8,1,16570.5108506691
"1389",0.3,20,0.9,1,16371.3357508223
"1390",0.3,20,1,1,16222.3526458898
"1391",0.3,20,1.1,1,16108.3785658135
"1392",0.3,20,1.2,1,16019.4489893588
"1393",0.3,20,1.3,1,15948.8467492384
"1394",0.3,20,1.4,1,15891.9310421333
"1395",0.3,20,1.5,1,15845.4231334172
"1396",0.3,20,1.6,1,15806.9592270022
"1397",0.3,20,1.7,1,15774.8036425162
"1398",0.3,20,1.8,1,15747.6605829161
"1399",0.3,20,1.9,1,15724.5479702216
"1400",0.3,20,2,1,15704.7112217525
"1401",0.3,20,0.1,1.1,22005.9586646371
"1402",0.3,20,0.2,1.1,21008.9461169916
"1403",0.3,20,0.3,1.1,19777.0571228575
"1404",0.3,20,0.4,1.1,18651.5924851635
"1405",0.3,20,0.5,1.1,17868.9242897885
"1406",0.3,20,0.6,1.1,17349.1599035741
"1407",0.3,20,0.7,1.1,16994.1061393364
"1408",0.3,20,0.8,1.1,16743.2323864776
"1409",0.3,20,0.9,1.1,16560.5341994419
"1410",0.3,20,1,1.1,16423.9447904376
"1411",0.3,20,1.1,1.1,16319.4709235176
"1412",0.3,20,1.2,1.1,16237.9562845646
"1413",0.3,20,1.3,1.1,16173.2380543189
"1414",0.3,20,1.4,1.1,16121.0618249382
"1415",0.3,20,1.5,1.1,16078.423047773
"1416",0.3,20,1.6,1.1,16043.1559819301
"1417",0.3,20,1.7,1.1,16013.6704560001
"1418",0.3,20,1.8,1.1,15988.7792825419
"1419",0.3,20,1.9,1.1,15967.5826467321
"1420",0.3,20,2,1.1,15949.3891195629
"1421",0.3,20,0.1,1.2,21993.7197608988
"1422",0.3,20,0.2,1.2,20992.8857184757
"1423",0.3,20,0.3,1.2,19761.940016535
"1424",0.3,20,0.4,1.2,18667.5815461509
"1425",0.3,20,0.5,1.2,17931.1505250787
"1426",0.3,20,0.6,1.2,17450.0353542242
"1427",0.3,20,0.7,1.2,17123.5369470871
"1428",0.3,20,0.8,1.2,16893.482035371
"1429",0.3,20,0.9,1.2,16726.1574092832
"1430",0.3,20,1,1.2,16601.1364625073
"1431",0.3,20,1.1,1.2,16505.5378544264
"1432",0.3,20,1.2,1.2,16430.9571457891
"1433",0.3,20,1.3,1.2,16371.7464890564
"1434",0.3,20,1.4,1.2,16324.0104281147
"1435",0.3,20,1.5,1.2,16284.9992946571
"1436",0.3,20,1.6,1.2,16252.7316301768
"1437",0.3,20,1.7,1.2,16225.7527921584
"1438",0.3,20,1.8,1.2,16202.97685663
"1439",0.3,20,1.9,1.2,16183.5807822142
"1440",0.3,20,2,1.2,16166.9321322527
"1441",0.3,20,0.1,1.3,21978.6844404137
"1442",0.3,20,0.2,1.3,20969.6936931483
"1443",0.3,20,0.3,1.3,19735.4304624122
"1444",0.3,20,0.4,1.3,18671.091834387
"1445",0.3,20,0.5,1.3,17979.3248526024
"1446",0.3,20,0.6,1.3,17534.5286245098
"1447",0.3,20,0.7,1.3,17234.5188155135
"1448",0.3,20,0.8,1.3,17023.6819727275
"1449",0.3,20,0.9,1.3,16870.5283108316
"1450",0.3,20,1,1.3,16756.1704812112
"1451",0.3,20,1.1,1.3,16668.7567849659
"1452",0.3,20,1.2,1.3,16600.5751692135
"1453",0.3,20,1.3,1.3,16546.4510008266
"1454",0.3,20,1.4,1.3,16502.8184937847
"1455",0.3,20,1.5,1.3,16467.1621222754
"1456",0.3,20,1.6,1.3,16437.66981529
"1457",0.3,20,1.7,1.3,16413.0115958789
"1458",0.3,20,1.8,1.3,16392.1947585718
"1459",0.3,20,1.9,1.3,16374.4669896755
"1460",0.3,20,2,1.3,16359.2502384278
"1461",0.3,20,0.1,1.4,21961.2841896229
"1462",0.3,20,0.2,1.4,20940.3909996986
"1463",0.3,20,0.3,1.4,19699.4365960027
"1464",0.3,20,0.4,1.4,18664.7630378207
"1465",0.3,20,0.5,1.4,18016.0397999289
"1466",0.3,20,0.6,1.4,17605.0966595836
"1467",0.3,20,0.7,1.4,17329.4234891854
"1468",0.3,20,0.8,1.4,17136.1466552507
"1469",0.3,20,0.9,1.4,16995.9175000626
"1470",0.3,20,1,1.4,16891.2815444055
"1471",0.3,20,1.1,1.4,16811.3322777826
"1472",0.3,20,1.2,1.4,16748.9893871882
"1473",0.3,20,1.3,1.4,16699.5088998288
"1474",0.3,20,1.4,1.4,16659.6247877403
"1475",0.3,20,1.5,1.4,16627.0344081744
"1476",0.3,20,1.6,1.4,16600.0797480989
"1477",0.3,20,1.7,1.4,16577.5442716911
"1478",0.3,20,1.8,1.4,16558.5201481379
"1479",0.3,20,1.9,1.4,16542.3194988582
"1480",0.3,20,2,1.4,16528.4138488049
"1481",0.3,20,0.1,1.5,21941.9142803514
"1482",0.3,20,0.2,1.5,20905.9046111152
"1483",0.3,20,0.3,1.5,19655.7192381167
"1484",0.3,20,0.4,1.5,18650.9591172114
"1485",0.3,20,0.5,1.5,18043.5588929114
"1486",0.3,20,0.6,1.5,17663.9197968853
"1487",0.3,20,0.7,1.5,17410.4111745089
"1488",0.3,20,0.8,1.5,17233.0346833651
"1489",0.3,20,0.9,1.5,17104.4843294211
"1490",0.3,20,1,1.5,17008.6284754125
"1491",0.3,20,1.1,1.5,16935.4211790181
"1492",0.3,20,1.2,1.5,16878.3537311859
"1493",0.3,20,1.3,1.5,16833.0707457752
"1494",0.3,20,1.4,1.5,16796.5763698583
"1495",0.3,20,1.5,1.5,16766.7597822529
"1496",0.3,20,1.6,1.5,16742.1018061507
"1497",0.3,20,1.7,1.5,16721.4881735524
"1498",0.3,20,1.8,1.5,16704.0876018599
"1499",0.3,20,1.9,1.5,16689.2703532625
"1500",0.3,20,2,1.5,16676.5527062229
"1501",0.3,20,0.1,1.6,21920.9326776918
"1502",0.3,20,0.2,1.6,20867.0674822637
"1503",0.3,20,0.3,1.6,19605.8847044887
"1504",0.3,20,0.4,1.6,18631.7486850368
"1505",0.3,20,0.5,1.6,18063.8138167719
"1506",0.3,20,0.6,1.6,17712.8980244918
"1507",0.3,20,0.7,1.6,17479.4156337813
"1508",0.3,20,0.8,1.6,17316.3217772366
"1509",0.3,20,0.9,1.6,17198.2393976472
"1510",0.3,20,1,1.6,17110.2481756036
"1511",0.3,20,1.1,1.6,17043.0797276087
"1512",0.3,20,1.2,1.6,16990.7386527055
"1513",0.3,20,1.3,1.6,16949.2175371132
"1514",0.3,20,1.4,1.6,16915.762172135
"1515",0.3,20,1.5,1.6,16888.433233305
"1516",0.3,20,1.6,1.6,16865.835671396
"1517",0.3,20,1.7,1.6,16846.9466722779
"1518",0.3,20,1.8,1.6,16831.0034293754
"1519",0.3,20,1.9,1.6,16817.4282334223
"1520",0.3,20,2,1.6,16805.7774263524
"1521",0.3,20,0.1,1.7,21898.6600268156
"1522",0.3,20,0.2,1.7,20824.6217825982
"1523",0.3,20,0.3,1.7,19551.3840016117
"1524",0.3,20,0.4,1.7,18608.8993646393
"1525",0.3,20,0.5,1.7,18078.4189147807
"1526",0.3,20,0.6,1.7,17753.6626287549
"1527",0.3,20,0.7,1.7,17538.1445093433
"1528",0.3,20,0.8,1.7,17387.7897515132
"1529",0.3,20,0.9,1.7,17279.0239728079
"1530",0.3,20,1,1.7,17198.0273519493
"1531",0.3,20,1.1,1.7,17136.229134247
"1532",0.3,20,1.2,1.7,17088.0917711048
"1533",0.3,20,1.3,1.7,17049.9173715319
"1534",0.3,20,1.4,1.7,17019.1664035896
"1535",0.3,20,1.5,1.7,16994.0518291873
"1536",0.3,20,1.6,1.7,16973.2888149279
"1537",0.3,20,1.7,1.7,16955.9357619322
"1538",0.3,20,1.8,1.7,16941.2906880471
"1539",0.3,20,1.9,1.7,16928.8221119484
"1540",0.3,20,2,1.7,16918.1219830107
"1541",0.3,20,0.1,1.8,21875.380438249
"1542",0.3,20,0.2,1.8,20779.2244092051
"1543",0.3,20,0.3,1.8,19493.516797831
"1544",0.3,20,0.4,1.8,18583.8838869503
"1545",0.3,20,0.5,1.8,18088.6974493056
"1546",0.3,20,0.6,1.8,17787.5975384211
"1547",0.3,20,0.7,1.8,17588.0897846151
"1548",0.3,20,0.8,1.8,17449.0268952041
"1549",0.3,20,0.9,1.8,17348.5021264466
"1550",0.3,20,1,1.8,17273.6880826512
"1551",0.3,20,1.1,1.8,17216.635920358
"1552",0.3,20,1.2,1.8,17172.2140244155
"1553",0.3,20,1.3,1.8,17136.9982080773
"1554",0.3,20,1.4,1.8,17108.6385419862
"1555",0.3,20,1.5,1.8,17085.4824204318
"1556",0.3,20,1.6,1.8,17066.3422924111
"1557",0.3,20,1.7,1.8,17050.3482494343
"1558",0.3,20,1.8,1.8,17036.8520097986
"1559",0.3,20,1.9,1.8,17025.3629148531
"1560",0.3,20,2,1.8,17015.5043655257
"1561",0.3,20,0.1,1.9,21851.342842518
"1562",0.3,20,0.2,1.9,20731.4539319201
"1563",0.3,20,0.3,1.9,19433.4386711357
"1564",0.3,20,0.4,1.9,18557.8956500419
"1565",0.3,20,0.5,1.9,18095.714688667
"1566",0.3,20,0.6,1.9,17815.8657936118
"1567",0.3,20,0.7,1.9,17630.5443045343
"1568",0.3,20,0.8,1.9,17501.4359482205
"1569",0.3,20,0.9,1.9,17408.1619180257
"1570",0.3,20,1,1.9,17338.7836536067
"1571",0.3,20,1.1,1.9,17285.9035181217
"1572",0.3,20,1.2,1.9,17244.7478788531
"1573",0.3,20,1.3,1.9,17212.1333326118
"1574",0.3,20,1.4,1.9,17185.8765538065
"1575",0.3,20,1.5,1.9,17164.443003375
"1576",0.3,20,1.6,1.9,17146.7305566821
"1577",0.3,20,1.7,1.9,17131.932260666
"1578",0.3,20,1.8,1.9,17119.4469971533
"1579",0.3,20,1.9,1.9,17108.8199671528
"1580",0.3,20,2,1.9,17099.7022048129
"1581",0.3,20,0.1,2,21826.7627312812
"1582",0.3,20,0.2,2,20681.8182726035
"1583",0.3,20,0.3,2,19372.1702750998
"1584",0.3,20,0.4,2,18531.871462726
"1585",0.3,20,0.5,2,18100.3137924971
"1586",0.3,20,0.6,2,17839.4377517355
"1587",0.3,20,0.7,2,17666.6213098664
"1588",0.3,20,0.8,2,17546.2467079309
"1589",0.3,20,0.9,2,17459.3226480275
"1590",0.3,20,1,2,17394.7016455518
"1591",0.3,20,1.1,2,17345.4720726475
"1592",0.3,20,1.2,2,17307.1745054689
"1593",0.3,20,1.3,2,17276.8364091856
"1594",0.3,20,1.4,2,17252.4202050011
"1595",0.3,20,1.5,2,17232.4945899319
"1596",0.3,20,1.6,2,17216.0321228117
"1597",0.3,20,1.7,2,17202.2808892318
"1598",0.3,20,1.8,2,17190.6810075223
"1599",0.3,20,1.9,2,17180.8090362373
"1600",0.3,20,2,2,17172.3401772764
"1601",0.6,5,0.1,0.1,21903.9985621455
"1602",0.6,5,0.2,0.1,20803.1922356907
"1603",0.6,5,0.3,0.1,19599.7437437109
"1604",0.6,5,0.4,0.1,18323.2172148579
"1605",0.6,5,0.5,0.1,17110.6507786265
"1606",0.6,5,0.6,0.1,16083.255240211
"1607",0.6,5,0.7,0.1,15267.5609198385
"1608",0.6,5,0.8,0.1,14637.2310906411
"1609",0.6,5,0.9,0.1,14152.7737893797
"1610",0.6,5,1,0.1,13778.3418926115
"1611",0.6,5,1.1,0.1,13485.8519913036
"1612",0.6,5,1.2,0.1,13254.4878722394
"1613",0.6,5,1.3,0.1,13069.1057610532
"1614",0.6,5,1.4,0.1,12918.7093002188
"1615",0.6,5,1.5,0.1,12795.2642699888
"1616",0.6,5,1.6,0.1,12692.8418716644
"1617",0.6,5,1.7,0.1,12607.0160221936
"1618",0.6,5,1.8,0.1,12534.4423997577
"1619",0.6,5,1.9,0.1,12472.5637286938
"1620",0.6,5,2,0.1,12419.4019470943
"1621",0.6,5,0.1,0.2,21944.7730203278
"1622",0.6,5,0.2,0.2,20907.6768992264
"1623",0.6,5,0.3,0.2,19770.6949097049
"1624",0.6,5,0.4,0.2,18561.6519486407
"1625",0.6,5,0.5,0.2,17410.3913969714
"1626",0.6,5,0.6,0.2,16431.7369609159
"1627",0.6,5,0.7,0.2,15651.8087608661
"1628",0.6,5,0.8,0.2,15046.8496092402
"1629",0.6,5,0.9,0.2,14580.2981878928
"1630",0.6,5,1,0.2,14218.6363121505
"1631",0.6,5,1.1,0.2,13935.4156626632
"1632",0.6,5,1.2,0.2,13710.9169133109
"1633",0.6,5,1.3,0.2,13530.724165913
"1634",0.6,5,1.4,0.2,13384.3267917609
"1635",0.6,5,1.5,0.2,13264.019101619
"1636",0.6,5,1.6,0.2,13164.0982911521
"1637",0.6,5,1.7,0.2,13080.296569094
"1638",0.6,5,1.8,0.2,13009.3824986549
"1639",0.6,5,1.9,0.2,12948.8807155383
"1640",0.6,5,2,0.2,12896.8735760655
"1641",0.6,5,0.1,0.3,21978.3747961132
"1642",0.6,5,0.2,0.3,20995.9210630306
"1643",0.6,5,0.3,0.3,19916.6010184869
"1644",0.6,5,0.4,0.3,18767.1216540891
"1645",0.6,5,0.5,0.3,17672.6163400027
"1646",0.6,5,0.6,0.3,16741.9971885995
"1647",0.6,5,0.7,0.3,15999.4920675616
"1648",0.6,5,0.8,0.3,15422.4908873785
"1649",0.6,5,0.9,0.3,14976.5570892265
"1650",0.6,5,1,0.3,14630.1578972802
"1651",0.6,5,1.1,0.3,14358.3750096601
"1652",0.6,5,1.2,0.3,14142.5838899062
"1653",0.6,5,1.3,0.3,13969.1317408826
"1654",0.6,5,1.4,0.3,13828.0378125379
"1655",0.6,5,1.5,0.3,13711.9669607431
"1656",0.6,5,1.6,0.3,13615.4786992376
"1657",0.6,5,1.7,0.3,13534.4936476711
"1658",0.6,5,1.8,0.3,13465.9177618039
"1659",0.6,5,1.9,0.3,13407.3773792109
"1660",0.6,5,2,0.3,13357.0312306971
"1661",0.6,5,0.1,0.4,22005.0970895656
"1662",0.6,5,0.2,0.4,21068.574209718
"1663",0.6,5,0.3,0.4,20038.2336375096
"1664",0.6,5,0.4,0.4,18940.4345853388
"1665",0.6,5,0.5,0.4,17897.9155348123
"1666",0.6,5,0.6,0.4,17014.076895054
"1667",0.6,5,0.7,0.4,16309.9177150752
"1668",0.6,5,0.8,0.4,15762.7175483166
"1669",0.6,5,0.9,0.4,15339.4538172695
"1670",0.6,5,1,0.4,15010.2621564221
"1671",0.6,5,1.1,0.4,14751.6426673747
"1672",0.6,5,1.2,0.4,14546.046406186
"1673",0.6,5,1.3,0.4,14380.6010982246
"1674",0.6,5,1.4,0.4,14245.8847817599
"1675",0.6,5,1.5,0.4,14134.9627571286
"1676",0.6,5,1.6,0.4,14042.6838376571
"1677",0.6,5,1.7,0.4,13965.1800465156
"1678",0.6,5,1.8,0.4,13899.5138084544
"1679",0.6,5,1.9,0.4,13843.4287971695
"1680",0.6,5,2,0.4,13795.1728717136
"1681",0.6,5,0.1,0.5,22025.3090351607
"1682",0.6,5,0.2,0.5,21126.468323
"1683",0.6,5,0.3,0.5,20136.7010670367
"1684",0.6,5,0.4,0.5,19082.9346792494
"1685",0.6,5,0.5,0.5,18087.6641308268
"1686",0.6,5,0.6,0.5,17249.0191878128
"1687",0.6,5,0.7,0.5,16583.5274373408
"1688",0.6,5,0.8,0.5,16067.2865009595
"1689",0.6,5,0.9,0.5,15668.099189877
"1690",0.6,5,1,0.5,15357.5005437345
"1691",0.6,5,1.1,0.5,15113.3041537012
"1692",0.6,5,1.2,0.5,14919.0076985725
"1693",0.6,5,1.3,0.5,14762.5228222808
"1694",0.6,5,1.4,0.5,14635.001826542
"1695",0.6,5,1.5,0.5,14529.9289956528
"1696",0.6,5,1.6,0.5,14442.4602973715
"1697",0.6,5,1.7,0.5,14368.9549750672
"1698",0.6,5,1.8,0.5,14306.6453988878
"1699",0.6,5,1.9,0.5,14253.4038435458
"1700",0.6,5,2,0.5,14207.576628293
"1701",0.6,5,0.1,0.6,22039.4398756395
"1702",0.6,5,0.2,0.6,21170.5775218167
"1703",0.6,5,0.3,0.6,20213.3820625761
"1704",0.6,5,0.4,0.6,19196.4102203569
"1705",0.6,5,0.5,0.6,18243.8970818905
"1706",0.6,5,0.6,0.6,17448.7126685693
"1707",0.6,5,0.7,0.6,16821.7320398953
"1708",0.6,5,0.8,0.6,16336.9964522581
"1709",0.6,5,0.9,0.6,15962.6848651949
"1710",0.6,5,1,0.6,15671.5235917166
"1711",0.6,5,1.1,0.6,15442.5499847749
"1712",0.6,5,1.2,0.6,15260.2749222471
"1713",0.6,5,1.3,0.6,15113.3865684085
"1714",0.6,5,1.4,0.6,14993.6154464343
"1715",0.6,5,1.5,0.6,14894.8731181639
"1716",0.6,5,1.6,0.6,14812.6320649924
"1717",0.6,5,1.7,0.6,14743.487735267
"1718",0.6,5,1.8,0.6,14684.8504959707
"1719",0.6,5,1.9,0.6,14634.7281950846
"1720",0.6,5,2,0.6,14591.5715426621
"1721",0.6,5,0.1,0.7,22047.9619639555
"1722",0.6,5,0.2,0.7,21201.9759307634
"1723",0.6,5,0.3,0.7,20269.8555470763
"1724",0.6,5,0.4,0.7,19282.9934402867
"1725",0.6,5,0.5,0.7,18369.1666251337
"1726",0.6,5,0.6,0.7,17615.7070959494
"1727",0.6,5,0.7,0.7,17026.7078121311
"1728",0.6,5,0.8,0.7,16573.4886860038
"1729",0.6,5,0.9,0.7,16224.3022677665
"1730",0.6,5,1,0.7,15952.9232849252
"1731",0.6,5,1.1,0.7,15739.541996281
"1732",0.6,5,1.2,0.7,15569.6477354246
"1733",0.6,5,1.3,0.7,15432.6894588781
"1734",0.6,5,1.4,0.7,15320.9701758245
"1735",0.6,5,1.5,0.7,15228.8280762066
"1736",0.6,5,1.6,0.7,15152.0539334306
"1737",0.6,5,1.7,0.7,15087.4821919221
"1738",0.6,5,1.8,0.7,15032.7042872747
"1739",0.6,5,1.9,0.7,14985.8666322556
"1740",0.6,5,2,0.7,14945.5270767488
"1741",0.6,5,0.1,0.8,22051.3739640898
"1742",0.6,5,0.2,0.8,21221.7965807547
"1743",0.6,5,0.3,0.8,20307.8315620702
"1744",0.6,5,0.4,0.8,19345.0589658945
"1745",0.6,5,0.5,0.8,18466.3940539182
"1746",0.6,5,0.6,0.8,17753.0183546816
"1747",0.6,5,0.7,0.8,17201.177728889
"1748",0.6,5,0.8,0.8,16779.0269958407
"1749",0.6,5,0.9,0.8,16454.7340022774
"1750",0.6,5,1,0.8,16203.0411441591
"1751",0.6,5,1.1,0.8,16005.2391539995
"1752",0.6,5,1.2,0.8,15847.7609768241
"1753",0.6,5,1.3,0.8,15720.7940249452
"1754",0.6,5,1.4,0.8,15617.2000099316
"1755",0.6,5,1.5,0.8,15531.7355324804
"1756",0.6,5,1.6,0.8,15460.5049396119
"1757",0.6,5,1.7,0.8,15400.5791018025
"1758",0.6,5,1.8,0.8,15349.729248331
"1759",0.6,5,1.9,0.8,15306.2398480361
"1760",0.6,5,2,0.8,15268.7758240528
"1761",0.6,5,0.1,0.9,22050.1853640536
"1762",0.6,5,0.2,0.9,21231.1936644727
"1763",0.6,5,0.3,0.9,20329.0876777131
"1764",0.6,5,0.4,0.9,19385.1276803215
"1765",0.6,5,0.5,0.9,18538.7256610132
"1766",0.6,5,0.6,0.9,17863.9379994945
"1767",0.6,5,0.7,0.9,17348.197732322
"1768",0.6,5,0.8,0.9,16956.280049546
"1769",0.6,5,0.9,0.9,16656.2423287894
"1770",0.6,5,1,0.9,16423.7668759314
"1771",0.6,5,1.1,0.9,16241.2074446152
"1772",0.6,5,1.2,0.9,16095.9054959006
"1773",0.6,5,1.3,0.9,15978.7591109043
"1774",0.6,5,1.4,0.9,15883.1683389363
"1775",0.6,5,1.5,0.9,15804.2937813909
"1776",0.6,5,1.6,0.9,15738.5433043842
"1777",0.6,5,1.7,0.9,15683.2172094842
"1778",0.6,5,1.8,0.9,15636.2616383032
"1779",0.6,5,1.9,0.9,15596.0956878868
"1780",0.6,5,2,0.9,15561.4889282806
"1781",0.6,5,0.1,1,22044.9030634975
"1782",0.6,5,0.2,1,21231.3098246136
"1783",0.6,5,0.3,1,20335.4137744965
"1784",0.6,5,0.4,1,19405.7807460288
"1785",0.6,5,0.5,1,18589.4004625121
"1786",0.6,5,0.6,1,17951.8596178348
"1787",0.6,5,0.7,1,17470.9640497893
"1788",0.6,5,0.8,1,17108.1242417866
"1789",0.6,5,0.9,1,16831.3739386379
"1790",0.6,5,1,1,16617.3475437059
"1791",0.6,5,1.1,1,16449.4342487134
"1792",0.6,5,1.2,1,16315.8478025956
"1793",0.6,5,1.3,1,16208.1645470465
"1794",0.6,5,1.4,1,16120.2972521006
"1795",0.6,5,1.5,1,16047.7912487351
"1796",0.6,5,1.6,1,15987.3436963716
"1797",0.6,5,1.7,1,15936.4738710511
"1798",0.6,5,1.8,1,15893.2951158122
"1799",0.6,5,1.9,1,15856.3554289933
"1800",0.6,5,2,1,15824.524735111
"1801",0.6,5,0.1,1.1,22036.0204317075
"1802",0.6,5,0.2,1.1,21223.2494514409
"1803",0.6,5,0.3,1.1,20328.5667632432
"1804",0.6,5,0.4,1.1,19409.5866301068
"1805",0.6,5,0.5,1.1,18621.634817702
"1806",0.6,5,0.6,1.1,18020.1306054772
"1807",0.6,5,0.7,1.1,17572.652164436
"1808",0.6,5,0.8,1.1,17237.4786900013
"1809",0.6,5,0.9,1.1,16982.7935971866
"1810",0.6,5,1,1.1,16786.2207760176
"1811",0.6,5,1.1,1.1,16632.1616289719
"1812",0.6,5,1.2,1.1,16509.6637920625
"1813",0.6,5,1.3,1.1,16410.9455497038
"1814",0.6,5,1.4,1.1,16330.402755233
"1815",0.6,5,1.5,1.1,16263.9425952673
"1816",0.6,5,1.6,1.1,16208.5342389424
"1817",0.6,5,1.7,1.1,16161.9029482504
"1818",0.6,5,1.8,1.1,16122.3194836963
"1819",0.6,5,1.9,1.1,16088.4533277996
"1820",0.6,5,2,1.1,16059.2690894705
"1821",0.6,5,0.1,1.2,22024.0089109361
"1822",0.6,5,0.2,1.2,21208.0583130768
"1823",0.6,5,0.3,1.2,20310.2356147611
"1824",0.6,5,0.4,1.2,19399.0422513862
"1825",0.6,5,0.5,1.2,18638.5267442508
"1826",0.6,5,0.6,1.2,18071.9342455457
"1827",0.6,5,0.7,1.2,17656.2926683495
"1828",0.6,5,0.8,1.2,17347.1777335538
"1829",0.6,5,0.9,1.2,17113.1526817487
"1830",0.6,5,1,1.2,16932.8790908251
"1831",0.6,5,1.1,1.2,16791.7467824969
"1832",0.6,5,1.2,1.2,16679.5959201079
"1833",0.6,5,1.3,1.2,16589.2472381577
"1834",0.6,5,1.4,1.2,16515.547173867
"1835",0.6,5,1.5,1.2,16454.7394526818
"1836",0.6,5,1.6,1.2,16404.0459326473
"1837",0.6,5,1.7,1.2,16361.383193091
"1838",0.6,5,1.8,1.2,16325.1682494591
"1839",0.6,5,1.9,1.2,16294.1835218835
"1840",0.6,5,2,1.2,16267.4817075231
"1841",0.6,5,0.1,1.3,22009.3120011628
"1842",0.6,5,0.2,1.3,21186.7093075116
"1843",0.6,5,0.3,1.3,20282.0161445962
"1844",0.6,5,0.4,1.3,19376.5279987081
"1845",0.6,5,0.5,1.3,18642.9808396355
"1846",0.6,5,0.6,1.3,18110.2036350534
"1847",0.6,5,0.7,1.3,17724.6845248244
"1848",0.6,5,0.8,1.3,17439.8810350333
"1849",0.6,5,0.9,1.3,17224.9932499761
"1850",0.6,5,1,1.3,17059.7670406983
"1851",0.6,5,1.1,1.3,16930.5525974417
"1852",0.6,5,1.2,1.3,16827.9379776222
"1853",0.6,5,1.3,1.3,16745.3045165408
"1854",0.6,5,1.4,1.3,16677.914958502
"1855",0.6,5,1.5,1.3,16622.3228474633
"1856",0.6,5,1.6,1.3,16575.9822711588
"1857",0.6,5,1.7,1.3,16536.9855223482
"1858",0.6,5,1.8,1.3,16503.8839361159
"1859",0.6,5,1.9,1.3,16475.5636833341
"1860",0.6,5,2,1.3,16451.1584216505
"1861",0.6,5,0.1,1.4,21992.3413163088
"1862",0.6,5,0.2,1.4,21160.0937434273
"1863",0.6,5,0.3,1.4,20245.3943877446
"1864",0.6,5,0.4,1.4,19344.2754041569
"1865",0.6,5,0.5,1.4,18637.6533446238
"1866",0.6,5,0.6,1.4,18137.5662584661
"1867",0.6,5,0.7,1.4,17780.342688688
"1868",0.6,5,0.8,1.4,17518.0176331306
"1869",0.6,5,0.9,1.4,17320.6844999465
"1870",0.6,5,1,1.4,17169.2090624253
"1871",0.6,5,1.1,1.4,17050.8673564328
"1872",0.6,5,1.2,1.4,16956.9476283078
"1873",0.6,5,1.3,1.4,16881.3485028305
"1874",0.6,5,1.4,1.4,16819.7139705955
"1875",0.6,5,1.5,1.4,16768.8801706303
"1876",0.6,5,1.6,1.4,16726.5125826715
"1877",0.6,5,1.7,1.4,16690.863296277
"1878",0.6,5,1.8,1.4,16660.6057617908
"1879",0.6,5,1.9,1.4,16634.7204795763
"1880",0.6,5,2,1.4,16612.4147356994
"1881",0.6,5,0.1,1.5,21973.4743400418
"1882",0.6,5,0.2,1.5,21129.0173300099
"1883",0.6,5,0.3,1.5,20201.737090941
"1884",0.6,5,0.4,1.5,19304.3456731242
"1885",0.6,5,0.5,1.5,18624.9159831872
"1886",0.6,5,0.6,1.5,18156.3159754623
"1887",0.6,5,0.7,1.5,17825.4747421476
"1888",0.6,5,0.8,1.5,17583.7581335641
"1889",0.6,5,0.9,1.5,17402.3863489801
"1890",0.6,5,1,1.5,17263.3636756646
"1891",0.6,5,1.1,1.5,17154.850217547
"1892",0.6,5,1.2,1.5,17068.7842715541
"1893",0.6,5,1.3,1.5,16999.5379017824
"1894",0.6,5,1.4,1.5,16943.1013782501
"1895",0.6,5,1.5,1.5,16896.5664580749
"1896",0.6,5,1.6,1.5,16857.7894118572
"1897",0.6,5,1.7,1.5,16825.1663932788
"1898",0.6,5,1.8,1.5,16797.4808935135
"1899",0.6,5,1.9,1.5,16773.7984073413
"1900",0.6,5,2,1.5,16753.3925710727
"1901",0.6,5,0.1,1.6,21953.0535113064
"1902",0.6,5,0.2,1.6,21094.1999635629
"1903",0.6,5,0.3,1.6,20152.2877960532
"1904",0.6,5,0.4,1.6,19258.6170167238
"1905",0.6,5,0.5,1.6,18606.8366742962
"1906",0.6,5,0.6,1.6,18168.4078855477
"1907",0.6,5,0.7,1.6,17861.9801292782
"1908",0.6,5,0.8,1.6,17639.008435586
"1909",0.6,5,0.9,1.6,17472.0340914095
"1910",0.6,5,1,1.6,17344.1987557791
"1911",0.6,5,1.1,1.6,17244.4979603893
"1912",0.6,5,1.2,1.6,17165.4684126314
"1913",0.6,5,1.3,1.6,17101.9121159656
"1914",0.6,5,1.4,1.6,17050.1314878762
"1915",0.6,5,1.5,1.6,17007.4477683878
