"","subjid","elpd","elpd.1"
"elpd",2077,-126912.674031977,608.291285646327
"elpd1",2078,-26315.4262592834,149.892075944666
"elpd2",2083,-37651.1220519758,179.899701199553
"elpd3",2085,-16940.1339523107,153.461932885185
"elpd4",2109,-33466.3462931369,168.955787420966
"elpd5",2123,-13411.3930478196,122.643277635513
"elpd6",2124,-41479.619193633,270.08568454411
"elpd7",2143,-21773.1314586545,214.883533200081
