"","subjid","elpd","elpd.1"
"elpd",2077,-127749.223415672,618.211105657774
"elpd1",2078,-26399.01622898,151.109684333802
"elpd2",2083,-37609.1127269063,180.027057554689
"elpd3",2085,-16850.6884982764,145.126941972945
"elpd4",2109,-33549.8043074892,172.304410099287
"elpd5",2123,-13448.9746908882,125.387304377798
"elpd6",2124,-41686.6669139964,268.994916733237
"elpd7",2143,-21812.09380395,216.146600795052
