"","sigma","omega.1","omega.2","omega.3","rho","lp__","subjid"
"33",0.226509534099391,0.864566744608485,0.0467907242015924,0.0886425311899229,0.293401008978791,-9393.3931596589,2077
"34",0.226215300189654,0.861888450322058,0.0497453543605111,0.088366195317431,0.306691783270687,-9393.07136248274,2077
"35",0.243957286097826,0.879508345716907,0.0433818101368887,0.0771098441462044,0.276666181100388,-9392.45185655348,2077
"36",0.233105274673757,0.875202582862968,0.0463235835950471,0.0784738335419852,0.28140454954546,-9391.72980782723,2077
"37",0.234262090298679,0.872170408748809,0.0462437304898137,0.0815858607613769,0.291985092567581,-9390.8517350895,2077
"38",0.235152354458435,0.876734913003474,0.0454860949465649,0.0777789920499616,0.308816806629342,-9391.51222302066,2077
"39",0.23590896663519,0.86957666908646,0.0471577166632065,0.0832656142503333,0.308119947432657,-9391.26342542968,2077
"40",0.237838499981635,0.878339105854549,0.0460769851766067,0.0755839089688445,0.304193740346493,-9391.97237730808,2077
"41",0.239039848762948,0.872701848164443,0.0453040363300419,0.0819941155055154,0.290075768901041,-9391.28165617413,2077
"42",0.248152189824311,0.88666985012239,0.0426695934494497,0.07066055642816,0.259526434099345,-9396.09299328225,2077
"43",0.238892887444425,0.879615039705408,0.0464902989331652,0.073894661361427,0.326361977136613,-9394.03541540417,2077
"44",0.223242420076554,0.862434145759567,0.0512127927998752,0.0863530614405577,0.297113267126995,-9394.01955259953,2077
"45",0.234104535733625,0.872327812334684,0.0461905227712312,0.0814816648940843,0.273027718771909,-9391.56321574269,2077
"46",0.239595783133029,0.874989820908944,0.0453157403223536,0.0796944387687026,0.282260881782297,-9391.24939052826,2077
"47",0.240131482525543,0.874784684184877,0.0474897000684982,0.0777256157466251,0.288956138106821,-9391.8101795466,2077
"48",0.242867367616004,0.872888567708835,0.0463288548577314,0.0807825774334334,0.251454679056335,-9394.09483486817,2077
"49",0.233282695933388,0.873640672246298,0.0468486916779694,0.0795106360757322,0.311715168203601,-9391.2699899556,2077
"50",0.236793847211093,0.867201249768293,0.0485767923462179,0.0842219578854891,0.284383313064288,-9392.099114821,2077
"51",0.234817669833398,0.870994371547606,0.0477797006665757,0.0812259277858186,0.268560099962081,-9391.9501279758,2077
"52",0.238671665926532,0.867988717192294,0.0475627582311191,0.0844485245765872,0.277449543942136,-9392.47468257505,2077
"53",0.236753868376927,0.868193459809577,0.0471243556738958,0.084682184516527,0.283682255579599,-9391.78696908584,2077
"54",0.236424763188289,0.869777095192446,0.0482950613022154,0.0819278435053387,0.278841782424489,-9391.66645531238,2077
"55",0.232469421719999,0.869591985524552,0.0447541115370798,0.0856539029383681,0.295386708695615,-9392.11141508552,2077
"56",0.232675424650492,0.872978074404741,0.0470083598691498,0.0800135657261096,0.297586376609662,-9391.06672359661,2077
"57",0.233347637336971,0.868098360772651,0.0496976383284284,0.0822040008989211,0.318504384879834,-9392.13550774434,2077
"58",0.240923468378714,0.875499121113878,0.0483832398307058,0.0761176390554161,0.298378637451448,-9392.8926273829,2077
"59",0.239441129092802,0.870434942220214,0.0485310690780775,0.0810339887017089,0.336231631270744,-9394.25967323223,2077
"60",0.241968055154481,0.884250043049972,0.0456292199295388,0.070120737020489,0.280504009706737,-9395.18973790876,2077
"61",0.233683437502689,0.868474730131603,0.0476280628615344,0.0838972070068628,0.265056104654111,-9392.43112823365,2077
"62",0.239004672585679,0.885161938595067,0.0410837025365188,0.0737543588684146,0.277723742634928,-9395.02043138329,2077
"63",0.230128060156655,0.872605154687617,0.0461402454233281,0.0812545998890553,0.296101253279899,-9391.54359273521,2077
"64",0.24437414407748,0.877551526752556,0.0454016965812594,0.0770467766661841,0.295484009604405,-9392.363464462,2077
"65",0.232431695474653,0.867610552818522,0.0516773478871528,0.0807120992943254,0.324527710608368,-9393.95840912249,2077
"66",0.237296116294198,0.880715212963723,0.0426698672713998,0.0766149197648768,0.27404049134771,-9393.10460238317,2077
"67",0.237396683278085,0.865299440768071,0.0487397084304918,0.0859608508014376,0.245924173545582,-9395.79616719163,2077
"68",0.233791710502778,0.87333852049573,0.0478731454363079,0.0787883340679626,0.299575474068897,-9391.33925114416,2077
"69",0.235037250408888,0.87335113059205,0.046780992699951,0.0798678767079986,0.299372920393469,-9390.87424100707,2077
"70",0.235146503179801,0.872001136022698,0.0464071245685715,0.0815917394087306,0.261278280900445,-9392.3286667744,2077
"71",0.233071390132841,0.875401731329195,0.0446285800132569,0.0799696886575479,0.308688704948605,-9391.63316495045,2077
"72",0.239443917885338,0.877723084445322,0.0426277190961244,0.0796491964585536,0.305568616721907,-9392.25166305115,2077
"73",0.248074161960551,0.877253839321263,0.0424607096156358,0.080285451063101,0.289790406436353,-9394.4119101574,2077
"74",0.233710471017888,0.873366082258893,0.046973148899523,0.0796607688415839,0.307879680325853,-9391.10704748174,2077
"75",0.23485765106694,0.871791854840596,0.0481905228156022,0.080017622343802,0.292170810098178,-9391.19738903715,2077
"76",0.22157620316553,0.86577094451528,0.045375737592911,0.0888533178918091,0.278366759095936,-9397.23895604258,2077
"77",0.236868676341779,0.877455444726795,0.0471633780906905,0.0753811771825141,0.31144746105516,-9392.50581770619,2077
"78",0.238307507039943,0.875514875185766,0.0430547570804153,0.0814303677338191,0.294720219602251,-9391.90926633162,2077
"79",0.234675782667057,0.875280569745498,0.0447226339433555,0.0799967963111466,0.312627853209151,-9391.47479647107,2077
"80",0.23465991415327,0.873207096590535,0.0471389117834806,0.079653991625984,0.317116321568884,-9391.40829351899,2077
"81",0.250214817242073,0.882049793643756,0.0435274158637873,0.0744227904924563,0.315474294430394,-9395.94526173145,2077
"82",0.232319610871192,0.879540305139016,0.044551082751386,0.0759086121095981,0.315836183299939,-9393.4878423007,2077
"83",0.237165409823241,0.873572343842114,0.0471155690385845,0.0793120871193016,0.247082702092807,-9393.88720696299,2077
"84",0.229439002455194,0.86939718293246,0.0491849416908811,0.0814178753766585,0.290599201750634,-9391.93516040313,2077
"85",0.235207089746474,0.877385656635034,0.0445266236106236,0.0780877197543427,0.305611061537026,-9391.61130943214,2077
"86",0.232995557357704,0.879268271239631,0.0423659329376889,0.0783657958226804,0.274585083628714,-9394.21129053764,2077
"87",0.236696057853937,0.870528193598985,0.0481627534940691,0.0813090529069461,0.326374894931629,-9392.37505808898,2077
"88",0.242778552277276,0.881068290001809,0.0434717676525557,0.075459942345635,0.30615635854514,-9392.64960154303,2077
"89",0.23297807876173,0.875848125818374,0.0477422814367821,0.0764095927448434,0.347227880086419,-9395.05224897063,2077
"90",0.239911008816338,0.865013831326792,0.0481407482178268,0.0868454204553814,0.256079034525061,-9395.66944750432,2077
"91",0.23167928107511,0.869047218961757,0.0465577587991639,0.0843950222390792,0.286001879734744,-9391.46485166394,2077
"92",0.231476752374963,0.865644839146085,0.0500874188149519,0.0842677420389627,0.330810793798542,-9392.99839498402,2077
"93",0.240559861672654,0.877674491323784,0.0467749236911638,0.075550584985052,0.26528257858303,-9393.04365584967,2077
"94",0.240199840455134,0.872851312769405,0.046038150614398,0.0811105366161969,0.298942799008214,-9391.42099981804,2077
"95",0.231417819963151,0.871550445168181,0.0441032529261738,0.0843463019056451,0.264553288422928,-9393.80614383067,2077
"96",0.232565217324408,0.869517779303737,0.0491904259577073,0.0812917947385558,0.268716859707634,-9392.58046554952,2077
"97",0.227810848012517,0.874515757920027,0.0441640026211008,0.0813202394588723,0.302440935068503,-9393.45192181681,2077
"98",0.245564754463325,0.876684812358564,0.0495062667019721,0.0738089209394641,0.295259308087511,-9396.22467913049,2077
"99",0.236557578472781,0.867989214792782,0.0482109753048257,0.0837998099023926,0.319168050481557,-9392.26105086572,2077
"100",0.243090042762512,0.876449975997557,0.0451150201409212,0.0784350038615213,0.284714896776229,-9391.86550637727,2077
"101",0.238468042980916,0.869122668242227,0.0483738884060654,0.0825034433517073,0.325523843960647,-9393.05909821216,2077
"102",0.238134249872049,0.881785992273412,0.0429661284064723,0.0752478793201161,0.278338070467881,-9393.02956540486,2077
"103",0.235492468836297,0.878214204714538,0.0463757289032951,0.0754100663821667,0.296928958652207,-9392.18979431329,2077
"104",0.231376154884275,0.866612607910493,0.045451847216219,0.087935544873288,0.323590993329993,-9393.36565254088,2077
"105",0.239170128124039,0.879994972260389,0.0469969758955345,0.0730080518440768,0.284445545367836,-9393.48639493295,2077
"106",0.234010702158694,0.881829764049867,0.0426547744859743,0.0755154614641589,0.33556319751288,-9395.69942022913,2077
"107",0.232273531695484,0.863683297515228,0.0487900474870564,0.087526654997716,0.298228999229818,-9392.39454055126,2077
"108",0.236182784436747,0.866959781088037,0.0481584900831904,0.0848817288287731,0.286888178420476,-9391.93598254859,2077
"109",0.227134803123114,0.862218964053032,0.0520754144081618,0.0857056215388065,0.309055482960099,-9393.59394493996,2077
