"","subjid","elpd","elpd.1"
"elpd",2077,-126191.173633139,605.952205991709
"elpd1",2078,-25416.9102273613,137.538746881272
"elpd2",2083,-37645.8739160432,180.380145659461
"elpd3",2085,-15242.8189216992,118.679400472171
"elpd4",2109,-35207.9355868856,231.290666392994
"elpd5",2123,-13440.6530698087,121.722956324528
"elpd6",2124,NA,NA
"elpd7",2143,-21651.317621112,206.042201283571
